source_path,file_name,file_extension,file_size_bytes,sha256,category,upload_decision,github_path_if_uploaded,reason,formal_main_result_evidence,sensitive_path_status
analyze_wifi7_mlo_adjusted_final_issue_audit.m,analyze_wifi7_mlo_adjusted_final_issue_audit.m,.m,24752,0939e5cd19c6777e4f6e30733660dac1e8741a8fd893ed5dae7de42a76400f1a,formal_adjusted_final_code_evidence,not_uploaded_directly,,MATLAB code evidence is cited in README/manifest; source code is not needed to verify the uploaded CSV values.,false,relative_path_only_no_local_absolute_path
analyze_wifi7_mlo_adjusted_final_plots_and_tables.m,analyze_wifi7_mlo_adjusted_final_plots_and_tables.m,.m,32407,f8ff49bc10fa289421bac5b070bf92d3abe6a0f6cd4e01881bbc4e2c4299c040,formal_adjusted_final_code_evidence,not_uploaded_directly,,MATLAB code evidence is cited in README/manifest; source code is not needed to verify the uploaded CSV values.,false,relative_path_only_no_local_absolute_path
analyze_wifi7_mlo_s2_candidate_ranking_audit.m,analyze_wifi7_mlo_s2_candidate_ranking_audit.m,.m,35658,b6204e87991654267038d44f9582d144450c70061bbd33cb34332ba11c6ce75d,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
check_wifi7_mlo_systemlevel_prereq.m,check_wifi7_mlo_systemlevel_prereq.m,.m,32922,d2354fccac5709115602990802d09234c4dedacbc9b22cb8ef9e0116f02801ad,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
check_wlan_wifi7_license_smoke_test.m,check_wlan_wifi7_license_smoke_test.m,.m,25191,dc269e56d5c2508e883846251a311d5f390bfe4a477b95037004738583ed2c79,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
compare_wifi7_mlo_s1_s3_pilots.m,compare_wifi7_mlo_s1_s3_pilots.m,.m,23843,82cd5c687c8e28492e4274bc8d08f99a2662389290e1d53af3b378b492b01e90,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
debug_wifi7_mlo_s2_penalty_wiring_audit.m,debug_wifi7_mlo_s2_penalty_wiring_audit.m,.m,51188,3e64f324f6c5c185d0db1b732bd8322e6e92498fa457b1ea54ed8be627721354,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
debug_wifi7_sl_6g_320_creation_fix_pilot.m,debug_wifi7_sl_6g_320_creation_fix_pilot.m,.m,44639,776e32e4330f78cf87233d4da1c6b46a64ceb0363fe83b9a605dd46e1c88dee5,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
debug_wifi7_sl_6g_320_s2_outage_diagnosis_pilot.m,debug_wifi7_sl_6g_320_s2_outage_diagnosis_pilot.m,.m,44244,832e136bcebfd78d335bbf12fe8283077ccb06c90e4ab268ced5ed7adf7cd702,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
diagnose_wifi7_mlo_channel_sensitivity.m,diagnose_wifi7_mlo_channel_sensitivity.m,.m,39413,7aaec475885d0b16b27de68e61a3886468c9ea06de927e4028a64e718167be5f,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
